name,slug,voivodeship,teryt,kind
Dziwnów - miasto (4),dziwnow-miasto-4,zachodniopomorskie,3207014,miasto w gminie miejsko-wiejskiej
Dąbie - miasto (4),dabie-miasto-4,wielkopolskie,3009044,miasto w gminie miejsko-wiejskiej
Dąbrowa Białostocka - miasto (4),dabrowa-bialostocka-miasto-4,podlaskie,2011014,miasto w gminie miejsko-wiejskiej
Dąbrowa Górnicza (1),dabrowa-gornicza-1,śląskie,2465011,gmina miejska
Dąbrowa Tarnowska - miasto (4),dabrowa-tarnowska-miasto-4,małopolskie,1204024,miasto w gminie miejsko-wiejskiej
Dąbrowice - miasto (4),dabrowice-miasto-4,łódzkie,1002034,miasto w gminie miejsko-wiejskiej
Dębica (1),debica-1,podkarpackie,1803011,gmina miejska
Dęblin (1),deblin-1,lubelskie,0616011,gmina miejska
Dębno - miasto (4),debno-miasto-4,zachodniopomorskie,3210034,miasto w gminie miejsko-wiejskiej
Elbląg (1),elblag-1,warmińsko-mazurskie,2861011,gmina miejska
Ełk (1),elk-1,warmińsko-mazurskie,2805011,gmina miejska
Frampol - miasto (4),frampol-miasto-4,lubelskie,0602054,miasto w gminie miejsko-wiejskiej
Frombork - miasto (4),frombork-miasto-4,warmińsko-mazurskie,2802034,miasto w gminie miejsko-wiejskiej
Garwolin (1),garwolin-1,mazowieckie,1403011,gmina miejska
Gdańsk (1),gdansk-1,pomorskie,2261011,gmina miejska
Gdynia (1),gdynia-1,pomorskie,2262011,gmina miejska
Gielniów - miasto (4),gielniow-miasto-4,mazowieckie,1423024,miasto w gminie miejsko-wiejskiej
Giżycko (1),gizycko-1,warmińsko-mazurskie,2806011,gmina miejska
Glinojeck - miasto (4),glinojeck-miasto-4,mazowieckie,1402034,miasto w gminie miejsko-wiejskiej
Gliwice (1),gliwice-1,śląskie,2466011,gmina miejska
Gniew - miasto (4),gniew-miasto-4,pomorskie,2214024,miasto w gminie miejsko-wiejskiej
Gniewkowo - miasto (4),gniewkowo-miasto-4,kujawsko-pomorskie,0407034,miasto w gminie miejsko-wiejskiej
Gniezno (1),gniezno-1,wielkopolskie,3003011,gmina miejska
Gogolin - miasto (4),gogolin-miasto-4,opolskie,1605014,miasto w gminie miejsko-wiejskiej
Golczewo - miasto (4),golczewo-miasto-4,zachodniopomorskie,3207024,miasto w gminie miejsko-wiejskiej
Goleniów - miasto (4),goleniow-miasto-4,zachodniopomorskie,3204024,miasto w gminie miejsko-wiejskiej
Golina - miasto (4),golina-miasto-4,wielkopolskie,3010014,miasto w gminie miejsko-wiejskiej
Golub-Dobrzyń (1),golub-dobrzyn-1,kujawsko-pomorskie,0405011,gmina miejska
Goniądz - miasto (4),goniadz-miasto-4,podlaskie,2008014,miasto w gminie miejsko-wiejskiej
Goraj - miasto (4),goraj-miasto-4,lubelskie,0602064,miasto w gminie miejsko-wiejskiej
Gorlice (1),gorlice-1,małopolskie,1205011,gmina miejska
Gorzów Wielkopolski (1),gorzow-wielkopolski-1,lubuskie,0861011,gmina miejska
Gorzów Śląski - miasto (4),gorzow-slaski-miasto-4,opolskie,1608024,miasto w gminie miejsko-wiejskiej
Gostynin (1),gostynin-1,mazowieckie,1404011,gmina miejska
Gostyń - miasto (4),gostyn-miasto-4,wielkopolskie,3004024,miasto w gminie miejsko-wiejskiej
Gowarczów - miasto (4),gowarczow-miasto-4,świętokrzyskie,2605024,miasto w gminie miejsko-wiejskiej
Gozdnica (1),gozdnica-1,lubuskie,0810011,gmina miejska
Gołańcz - miasto (4),golancz-miasto-4,wielkopolskie,3028034,miasto w gminie miejsko-wiejskiej
Gołdap - miasto (4),goldap-miasto-4,warmińsko-mazurskie,2818034,miasto w gminie miejsko-wiejskiej
Gościno - miasto (4),goscino-miasto-4,zachodniopomorskie,3208034,miasto w gminie miejsko-wiejskiej
Grabów - miasto (4),grabow-miasto-4,łódzkie,1004044,miasto w gminie miejsko-wiejskiej
Grabów nad Prosną - miasto (4),grabow-nad-prosna-miasto-4,wielkopolskie,3018034,miasto w gminie miejsko-wiejskiej
Grajewo (1),grajewo-1,podlaskie,2004011,gmina miejska
Grodków - miasto (4),grodkow-miasto-4,opolskie,1601034,miasto w gminie miejsko-wiejskiej
Grodzisk Mazowiecki - miasto (4),grodzisk-mazowiecki-miasto-4,mazowieckie,1405044,miasto w gminie miejsko-wiejskiej
Grodzisk Wielkopolski - miasto (4),grodzisk-wielkopolski-miasto-4,wielkopolskie,3005024,miasto w gminie miejsko-wiejskiej
Grudziądz (1),grudziadz-1,kujawsko-pomorskie,0462011,gmina miejska
Grybów (1),grybow-1,małopolskie,1210011,gmina miejska
Gryfice - miasto (4),gryfice-miasto-4,zachodniopomorskie,3205024,miasto w gminie miejsko-wiejskiej
Gryfino - miasto (4),gryfino-miasto-4,zachodniopomorskie,3206044,miasto w gminie miejsko-wiejskiej
Gryfów Śląski - miasto (4),gryfow-slaski-miasto-4,dolnośląskie,0212014,miasto w gminie miejsko-wiejskiej
Grójec - miasto (4),grojec-miasto-4,mazowieckie,1406054,miasto w gminie miejsko-wiejskiej
Gubin (1),gubin-1,lubuskie,0802011,gmina miejska
Góra - miasto (4),gora-miasto-4,dolnośląskie,0204014,miasto w gminie miejsko-wiejskiej
Góra Kalwaria - miasto (4),gora-kalwaria-miasto-4,mazowieckie,1418014,miasto w gminie miejsko-wiejskiej
Górowo Iławeckie (1),gorowo-ilaweckie-1,warmińsko-mazurskie,2801021,gmina miejska
Górzno - miasto (4),gorzno-miasto-4,kujawsko-pomorskie,0402054,miasto w gminie miejsko-wiejskiej
Gąbin - miasto (4),gabin-miasto-4,mazowieckie,1419064,miasto w gminie miejsko-wiejskiej
Gąsawa - miasto (4),gasawa-miasto-4,kujawsko-pomorskie,0419024,miasto w gminie miejsko-wiejskiej
Głogów (1),glogow-1,dolnośląskie,0203011,gmina miejska
Głogów Małopolski - miasto (4),glogow-malopolski-miasto-4,podkarpackie,1816064,miasto w gminie miejsko-wiejskiej
Głogówek - miasto (4),glogowek-miasto-4,opolskie,1610024,miasto w gminie miejsko-wiejskiej
Głowaczów - miasto (4),glowaczow-miasto-4,mazowieckie,1407024,miasto w gminie miejsko-wiejskiej
Głowno (1),glowno-1,łódzkie,1020011,gmina miejska
Głubczyce - miasto (4),glubczyce-miasto-4,opolskie,1602034,miasto w gminie miejsko-wiejskiej
Głuchołazy - miasto (4),glucholazy-miasto-4,opolskie,1607014,miasto w gminie miejsko-wiejskiej
Głuszyca - miasto (4),gluszyca-miasto-4,dolnośląskie,0221054,miasto w gminie miejsko-wiejskiej
Hajnówka (1),hajnowka-1,podlaskie,2005011,gmina miejska
Halinów - miasto (4),halinow-miasto-4,mazowieckie,1412074,miasto w gminie miejsko-wiejskiej
Hel (1),hel-1,pomorskie,2211011,gmina miejska
Hrubieszów (1),hrubieszow-1,lubelskie,0604011,gmina miejska
Imielin (1),imielin-1,śląskie,2414021,gmina miejska
Inowrocław (1),inowroclaw-1,kujawsko-pomorskie,0407011,gmina miejska
Inowłódz - miasto (4),inowlodz-miasto-4,łódzkie,1016054,miasto w gminie miejsko-wiejskiej
Iwaniska - miasto (4),iwaniska-miasto-4,świętokrzyskie,2606024,miasto w gminie miejsko-wiejskiej
Iwonicz-Zdrój - miasto (4),iwonicz-zdroj-miasto-4,podkarpackie,1807034,miasto w gminie miejsko-wiejskiej
Izbica - miasto (4),izbica-miasto-4,lubelskie,0606044,miasto w gminie miejsko-wiejskiej
Izbica Kujawska - miasto (4),izbica-kujawska-miasto-4,kujawsko-pomorskie,0418084,miasto w gminie miejsko-wiejskiej
Iława (1),ilawa-1,warmińsko-mazurskie,2807011,gmina miejska
Iłowa - miasto (4),ilowa-miasto-4,lubuskie,0810044,miasto w gminie miejsko-wiejskiej
Iłża - miasto (4),ilza-miasto-4,mazowieckie,1425034,miasto w gminie miejsko-wiejskiej
Ińsko - miasto (4),insko-miasto-4,zachodniopomorskie,3214054,miasto w gminie miejsko-wiejskiej
Jabłonowo Pomorskie - miasto (4),jablonowo-pomorskie-miasto-4,kujawsko-pomorskie,0402074,miasto w gminie miejsko-wiejskiej
Jadów - miasto (4),jadow-miasto-4,mazowieckie,1434064,miasto w gminie miejsko-wiejskiej
Janikowo - miasto (4),janikowo-miasto-4,kujawsko-pomorskie,0407054,miasto w gminie miejsko-wiejskiej
Janowiec Wielkopolski - miasto (4),janowiec-wielkopolski-miasto-4,kujawsko-pomorskie,0419034,miasto w gminie miejsko-wiejskiej
Janów - miasto (4),janow-miasto-4,śląskie,2404034,miasto w gminie miejsko-wiejskiej
Janów Lubelski - miasto (4),janow-lubelski-miasto-4,lubelskie,0605054,miasto w gminie miejsko-wiejskiej
Janów Podlaski - miasto (4),janow-podlaski-miasto-4,lubelskie,0601054,miasto w gminie miejsko-wiejskiej
Jaraczewo - miasto (4),jaraczewo-miasto-4,wielkopolskie,3006014,miasto w gminie miejsko-wiejskiej
Jarocin - miasto (4),jarocin-miasto-4,wielkopolskie,3006024,miasto w gminie miejsko-wiejskiej
Jarosław (1),jaroslaw-1,podkarpackie,1804011,gmina miejska
Jasień - miasto (4),jasien-miasto-4,lubuskie,0811044,miasto w gminie miejsko-wiejskiej
Jastarnia - miasto (4),jastarnia-miasto-4,pomorskie,2211024,miasto w gminie miejsko-wiejskiej
Jastrowie - miasto (4),jastrowie-miasto-4,wielkopolskie,3031024,miasto w gminie miejsko-wiejskiej
Jastrząb - miasto (4),jastrzab-miasto-4,mazowieckie,1430024,miasto w gminie miejsko-wiejskiej
Jastrzębie-Zdrój (1),jastrzebie-zdroj-1,śląskie,2467011,gmina miejska
Jasło (1),jaslo-1,podkarpackie,1805011,gmina miejska
Jawor (1),jawor-1,dolnośląskie,0205011,gmina miejska
Jawornik Polski - miasto (4),jawornik-polski-miasto-4,podkarpackie,1814044,miasto w gminie miejsko-wiejskiej
Jaworzno (1),jaworzno-1,śląskie,2468011,gmina miejska
Jaworzyna Śląska - miasto (4),jaworzyna-slaska-miasto-4,dolnośląskie,0219044,miasto w gminie miejsko-wiejskiej
Jedlicze - miasto (4),jedlicze-miasto-4,podkarpackie,1807044,miasto w gminie miejsko-wiejskiej
Jedlina-Zdrój (1),jedlina-zdroj-1,dolnośląskie,0221021,gmina miejska
Jedlnia-Letnisko - miasto (4),jedlnia-letnisko-miasto-4,mazowieckie,1425064,miasto w gminie miejsko-wiejskiej
Jedwabne - miasto (4),jedwabne-miasto-4,podlaskie,2007014,miasto w gminie miejsko-wiejskiej
Jelcz-Laskowice - miasto (4),jelcz-laskowice-miasto-4,dolnośląskie,0215034,miasto w gminie miejsko-wiejskiej
Jelenia Góra (1),jelenia-gora-1,dolnośląskie,0261011,gmina miejska
Jeziorany - miasto (4),jeziorany-miasto-4,warmińsko-mazurskie,2814064,miasto w gminie miejsko-wiejskiej
Jeżów - miasto (4),jezow-miasto-4,łódzkie,1021044,miasto w gminie miejsko-wiejskiej
Jordanów (1),jordanow-1,małopolskie,1215011,gmina miejska
Jutrosin - miasto (4),jutrosin-miasto-4,wielkopolskie,3022024,miasto w gminie miejsko-wiejskiej
Józefów (1),jozefow-1,mazowieckie,1417011,gmina miejska
Józefów - miasto (4),jozefow-miasto-4,lubelskie,0602074,miasto w gminie miejsko-wiejskiej
