name,slug,voivodeship,teryt,kind
Opatówek - miasto (4),opatowek-miasto-4,wielkopolskie,3007084,miasto w gminie miejsko-wiejskiej
Opoczno - miasto (4),opoczno-miasto-4,łódzkie,1007044,miasto w gminie miejsko-wiejskiej
Opole (1),opole-1,opolskie,1661011,gmina miejska
Opole Lubelskie - miasto (4),opole-lubelskie-miasto-4,lubelskie,0612054,miasto w gminie miejsko-wiejskiej
Orneta - miasto (4),orneta-miasto-4,warmińsko-mazurskie,2809054,miasto w gminie miejsko-wiejskiej
Orzesze (1),orzesze-1,śląskie,2408031,gmina miejska
Orzysz - miasto (4),orzysz-miasto-4,warmińsko-mazurskie,2816024,miasto w gminie miejsko-wiejskiej
Osieck - miasto (4),osieck-miasto-4,mazowieckie,1417064,miasto w gminie miejsko-wiejskiej
Osieczna - miasto (4),osieczna-miasto-4,wielkopolskie,3013034,miasto w gminie miejsko-wiejskiej
Osiek - miasto (4),osiek-miasto-4,świętokrzyskie,2612044,miasto w gminie miejsko-wiejskiej
Osjaków - miasto (4),osjakow-miasto-4,łódzkie,1017054,miasto w gminie miejsko-wiejskiej
Ostroróg - miasto (4),ostrorog-miasto-4,wielkopolskie,3024054,miasto w gminie miejsko-wiejskiej
Ostrowiec Świętokrzyski (1),ostrowiec-swietokrzyski-1,świętokrzyskie,2607011,gmina miejska
Ostrołęka (1),ostroleka-1,mazowieckie,1461011,gmina miejska
Ostrzeszów - miasto (4),ostrzeszow-miasto-4,wielkopolskie,3018074,miasto w gminie miejsko-wiejskiej
Ostróda (1),ostroda-1,warmińsko-mazurskie,2815011,gmina miejska
Ostrów Lubelski - miasto (4),ostrow-lubelski-miasto-4,lubelskie,0608104,miasto w gminie miejsko-wiejskiej
Ostrów Mazowiecka (1),ostrow-mazowiecka-1,mazowieckie,1416011,gmina miejska
Ostrów Wielkopolski (1),ostrow-wielkopolski-1,wielkopolskie,3017011,gmina miejska
Otmuchów - miasto (4),otmuchow-miasto-4,opolskie,1607064,miasto w gminie miejsko-wiejskiej
Otwock (1),otwock-1,mazowieckie,1417021,gmina miejska
Otyń - miasto (4),otyn-miasto-4,lubuskie,0804074,miasto w gminie miejsko-wiejskiej
Ozimek - miasto (4),ozimek-miasto-4,opolskie,1609084,miasto w gminie miejsko-wiejskiej
Ozorków (1),ozorkow-1,łódzkie,1020021,gmina miejska
Oława (1),olawa-1,dolnośląskie,0215011,gmina miejska
Ośno Lubuskie - miasto (4),osno-lubuskie-miasto-4,lubuskie,0805034,miasto w gminie miejsko-wiejskiej
Oświęcim (1),oswiecim-1,małopolskie,1213011,gmina miejska
Ożarów - miasto (4),ozarow-miasto-4,świętokrzyskie,2606054,miasto w gminie miejsko-wiejskiej
Ożarów Mazowiecki - miasto (4),ozarow-mazowiecki-miasto-4,mazowieckie,1432064,miasto w gminie miejsko-wiejskiej
Pabianice (1),pabianice-1,łódzkie,1008021,gmina miejska
Pacanów - miasto (4),pacanow-miasto-4,świętokrzyskie,2601044,miasto w gminie miejsko-wiejskiej
Paczków - miasto (4),paczkow-miasto-4,opolskie,1607074,miasto w gminie miejsko-wiejskiej
Pajęczno - miasto (4),pajeczno-miasto-4,łódzkie,1009044,miasto w gminie miejsko-wiejskiej
Pakość - miasto (4),pakosc-miasto-4,kujawsko-pomorskie,0407074,miasto w gminie miejsko-wiejskiej
Parczew - miasto (4),parczew-miasto-4,lubelskie,0613044,miasto w gminie miejsko-wiejskiej
Parzęczew - miasto (4),parzeczew-miasto-4,łódzkie,1020074,miasto w gminie miejsko-wiejskiej
Pasym - miasto (4),pasym-miasto-4,warmińsko-mazurskie,2817044,miasto w gminie miejsko-wiejskiej
Pasłęk - miasto (4),paslek-miasto-4,warmińsko-mazurskie,2804074,miasto w gminie miejsko-wiejskiej
Pelplin - miasto (4),pelplin-miasto-4,pomorskie,2214044,miasto w gminie miejsko-wiejskiej
Pełczyce - miasto (4),pelczyce-miasto-4,zachodniopomorskie,3202054,miasto w gminie miejsko-wiejskiej
Piaseczno - miasto (4),piaseczno-miasto-4,mazowieckie,1418044,miasto w gminie miejsko-wiejskiej
Piaski - miasto (4),piaski-miasto-4,lubelskie,0617034,miasto w gminie miejsko-wiejskiej
Piastów (1),piastow-1,mazowieckie,1421011,gmina miejska
Piechowice (1),piechowice-1,dolnośląskie,0206031,gmina miejska
Piekary Śląskie (1),piekary-slaskie-1,śląskie,2471011,gmina miejska
Piekoszów - miasto (4),piekoszow-miasto-4,świętokrzyskie,2604144,miasto w gminie miejsko-wiejskiej
Pieniężno - miasto (4),pieniezno-miasto-4,warmińsko-mazurskie,2802054,miasto w gminie miejsko-wiejskiej
Pierzchnica - miasto (4),pierzchnica-miasto-4,świętokrzyskie,2604154,miasto w gminie miejsko-wiejskiej
Pieszyce - miasto (4),pieszyce-miasto-4,dolnośląskie,0202034,miasto w gminie miejsko-wiejskiej
Pieńsk - miasto (4),piensk-miasto-4,dolnośląskie,0225044,miasto w gminie miejsko-wiejskiej
Pilawa - miasto (4),pilawa-miasto-4,mazowieckie,1403104,miasto w gminie miejsko-wiejskiej
Pilica - miasto (4),pilica-miasto-4,śląskie,2416074,miasto w gminie miejsko-wiejskiej
Pilzno - miasto (4),pilzno-miasto-4,podkarpackie,1803064,miasto w gminie miejsko-wiejskiej
Pionki (1),pionki-1,mazowieckie,1425011,gmina miejska
Piotrków Kujawski - miasto (4),piotrkow-kujawski-miasto-4,kujawsko-pomorskie,0411054,miasto w gminie miejsko-wiejskiej
Piotrków Trybunalski (1),piotrkow-trybunalski-1,łódzkie,1062011,gmina miejska
Pisz - miasto (4),pisz-miasto-4,warmińsko-mazurskie,2816034,miasto w gminie miejsko-wiejskiej
Piszczac - miasto (4),piszczac-miasto-4,lubelskie,0601114,miasto w gminie miejsko-wiejskiej
Piwniczna-Zdrój - miasto (4),piwniczna-zdroj-miasto-4,małopolskie,1210134,miasto w gminie miejsko-wiejskiej
Piątek - miasto (4),piatek-miasto-4,łódzkie,1004064,miasto w gminie miejsko-wiejskiej
Piła (1),pila-1,wielkopolskie,3019011,gmina miejska
Piława Górna (1),pilawa-gorna-1,dolnośląskie,0202041,gmina miejska
Pińczów - miasto (4),pinczow-miasto-4,świętokrzyskie,2608044,miasto w gminie miejsko-wiejskiej
Pleszew - miasto (4),pleszew-miasto-4,wielkopolskie,3020064,miasto w gminie miejsko-wiejskiej
Pniewy - miasto (4),pniewy-miasto-4,wielkopolskie,3024064,miasto w gminie miejsko-wiejskiej
Pobiedziska - miasto (4),pobiedziska-miasto-4,wielkopolskie,3021124,miasto w gminie miejsko-wiejskiej
Poddębice - miasto (4),poddebice-miasto-4,łódzkie,1011034,miasto w gminie miejsko-wiejskiej
Podkowa Leśna (1),podkowa-lesna-1,mazowieckie,1405021,gmina miejska
Pogorzela - miasto (4),pogorzela-miasto-4,wielkopolskie,3004064,miasto w gminie miejsko-wiejskiej
Polanica-Zdrój (1),polanica-zdroj-1,dolnośląskie,0208051,gmina miejska
Polanów - miasto (4),polanow-miasto-4,zachodniopomorskie,3209064,miasto w gminie miejsko-wiejskiej
Police - miasto (4),police-miasto-4,zachodniopomorskie,3211044,miasto w gminie miejsko-wiejskiej
Polkowice - miasto (4),polkowice-miasto-4,dolnośląskie,0216044,miasto w gminie miejsko-wiejskiej
Poniatowa - miasto (4),poniatowa-miasto-4,lubelskie,0612064,miasto w gminie miejsko-wiejskiej
Poniec - miasto (4),poniec-miasto-4,wielkopolskie,3004074,miasto w gminie miejsko-wiejskiej
Poręba (1),poreba-1,śląskie,2416011,gmina miejska
Poznań (1),poznan-1,wielkopolskie,3064011,gmina miejska
Połaniec - miasto (4),polaniec-miasto-4,świętokrzyskie,2612054,miasto w gminie miejsko-wiejskiej
Połczyn-Zdrój - miasto (4),polczyn-zdroj-miasto-4,zachodniopomorskie,3216034,miasto w gminie miejsko-wiejskiej
Prabuty - miasto (4),prabuty-miasto-4,pomorskie,2207044,miasto w gminie miejsko-wiejskiej
Praszka - miasto (4),praszka-miasto-4,opolskie,1608044,miasto w gminie miejsko-wiejskiej
Prochowice - miasto (4),prochowice-miasto-4,dolnośląskie,0209074,miasto w gminie miejsko-wiejskiej
Proszowice - miasto (4),proszowice-miasto-4,małopolskie,1214054,miasto w gminie miejsko-wiejskiej
Pruchnik - miasto (4),pruchnik-miasto-4,podkarpackie,1804074,miasto w gminie miejsko-wiejskiej
Prudnik - miasto (4),prudnik-miasto-4,opolskie,1610044,miasto w gminie miejsko-wiejskiej
Prusice - miasto (4),prusice-miasto-4,dolnośląskie,0220024,miasto w gminie miejsko-wiejskiej
Pruszcz - miasto (4),pruszcz-miasto-4,kujawsko-pomorskie,0414084,miasto w gminie miejsko-wiejskiej
Pruszcz Gdański (1),pruszcz-gdanski-1,pomorskie,2204011,gmina miejska
Pruszków (1),pruszkow-1,mazowieckie,1421021,gmina miejska
Przasnysz (1),przasnysz-1,mazowieckie,1422011,gmina miejska
Przecław - miasto (4),przeclaw-miasto-4,podkarpackie,1811074,miasto w gminie miejsko-wiejskiej
Przedbórz - miasto (4),przedborz-miasto-4,łódzkie,1012114,miasto w gminie miejsko-wiejskiej
Przedecz - miasto (4),przedecz-miasto-4,wielkopolskie,3009114,miasto w gminie miejsko-wiejskiej
Przemków - miasto (4),przemkow-miasto-4,dolnośląskie,0216054,miasto w gminie miejsko-wiejskiej
Przemyśl (1),przemysl-1,podkarpackie,1862011,gmina miejska
Przeworsk (1),przeworsk-1,podkarpackie,1814011,gmina miejska
Przyrów - miasto (4),przyrow-miasto-4,śląskie,2404144,miasto w gminie miejsko-wiejskiej
Przysucha - miasto (4),przysucha-miasto-4,mazowieckie,1423064,miasto w gminie miejsko-wiejskiej
Przytyk - miasto (4),przytyk-miasto-4,mazowieckie,1425094,miasto w gminie miejsko-wiejskiej
Prószków - miasto (4),proszkow-miasto-4,opolskie,1609104,miasto w gminie miejsko-wiejskiej
Pszczyna - miasto (4),pszczyna-miasto-4,śląskie,2410054,miasto w gminie miejsko-wiejskiej
Pszów (1),pszow-1,śląskie,2415011,gmina miejska
Puck (1),puck-1,pomorskie,2211031,gmina miejska
Puszczykowo (1),puszczykowo-1,wielkopolskie,3021021,gmina miejska
Puławy (1),pulawy-1,lubelskie,0614011,gmina miejska
Pułtusk - miasto (4),pultusk-miasto-4,mazowieckie,1424044,miasto w gminie miejsko-wiejskiej
Pyrzyce - miasto (4),pyrzyce-miasto-4,zachodniopomorskie,3212054,miasto w gminie miejsko-wiejskiej
Pyskowice (1),pyskowice-1,śląskie,2405021,gmina miejska
Pyzdry - miasto (4),pyzdry-miasto-4,wielkopolskie,3030044,miasto w gminie miejsko-wiejskiej
Płock (1),plock-1,mazowieckie,1462011,gmina miejska
Płoty - miasto (4),ploty-miasto-4,zachodniopomorskie,3205044,miasto w gminie miejsko-wiejskiej
Płońsk (1),plonsk-1,mazowieckie,1420011,gmina miejska
Rabka-Zdrój - miasto (4),rabka-zdroj-miasto-4,małopolskie,1211124,miasto w gminie miejsko-wiejskiej
Racibórz (1),raciborz-1,śląskie,2411011,gmina miejska
Raciąż (1),raciaz-1,mazowieckie,1420021,gmina miejska
Radków - miasto (4),radkow-miasto-4,dolnośląskie,0208124,miasto w gminie miejsko-wiejskiej
Radlin (1),radlin-1,śląskie,2415021,gmina miejska
Radom (1),radom-1,mazowieckie,1463011,gmina miejska
Radomsko (1),radomsko-1,łódzkie,1012011,gmina miejska
Radomyśl Wielki - miasto (4),radomysl-wielki-miasto-4,podkarpackie,1811084,miasto w gminie miejsko-wiejskiej
Radoszyce - miasto (4),radoszyce-miasto-4,świętokrzyskie,2605044,miasto w gminie miejsko-wiejskiej
Radymno (1),radymno-1,podkarpackie,1804021,gmina miejska
Radziejów (1),radziejow-1,kujawsko-pomorskie,0411011,gmina miejska
Radzionków (1),radzionkow-1,śląskie,2413031,gmina miejska
Radzymin - miasto (4),radzymin-miasto-4,mazowieckie,1434094,miasto w gminie miejsko-wiejskiej
Radzyń Chełmiński - miasto (4),radzyn-chelminski-miasto-4,kujawsko-pomorskie,0406044,miasto w gminie miejsko-wiejskiej
Radzyń Podlaski (1),radzyn-podlaski-1,lubelskie,0615011,gmina miejska
Radłów - miasto (4),radlow-miasto-4,małopolskie,1216054,miasto w gminie miejsko-wiejskiej
Rajgród - miasto (4),rajgrod-miasto-4,podlaskie,2004044,miasto w gminie miejsko-wiejskiej
Rakoniewice - miasto (4),rakoniewice-miasto-4,wielkopolskie,3005044,miasto w gminie miejsko-wiejskiej
Raszków - miasto (4),raszkow-miasto-4,wielkopolskie,3017064,miasto w gminie miejsko-wiejskiej
Rawa Mazowiecka (1),rawa-mazowiecka-1,łódzkie,1013011,gmina miejska
Rawicz - miasto (4),rawicz-miasto-4,wielkopolskie,3022054,miasto w gminie miejsko-wiejskiej
Recz - miasto (4),recz-miasto-4,zachodniopomorskie,3202064,miasto w gminie miejsko-wiejskiej
Reda (1),reda-1,pomorskie,2215011,gmina miejska
Rejowiec - miasto (4),rejowiec-miasto-4,lubelskie,0603154,miasto w gminie miejsko-wiejskiej
Rejowiec Fabryczny (1),rejowiec-fabryczny-1,lubelskie,0603011,gmina miejska
Resko - miasto (4),resko-miasto-4,zachodniopomorskie,3218044,miasto w gminie miejsko-wiejskiej
Reszel - miasto (4),reszel-miasto-4,warmińsko-mazurskie,2808054,miasto w gminie miejsko-wiejskiej
Rogoźno - miasto (4),rogozno-miasto-4,wielkopolskie,3016024,miasto w gminie miejsko-wiejskiej
Ropczyce - miasto (4),ropczyce-miasto-4,podkarpackie,1815034,miasto w gminie miejsko-wiejskiej
Rozprza - miasto (4),rozprza-miasto-4,łódzkie,1010084,miasto w gminie miejsko-wiejskiej
Ruciane-Nida - miasto (4),ruciane-nida-miasto-4,warmińsko-mazurskie,2816044,miasto w gminie miejsko-wiejskiej
Ruda Śląska (1),ruda-slaska-1,śląskie,2472011,gmina miejska
Rudnik nad Sanem - miasto (4),rudnik-nad-sanem-miasto-4,podkarpackie,1812064,miasto w gminie miejsko-wiejskiej
Rumia (1),rumia-1,pomorskie,2215021,gmina miejska
Rybnik (1),rybnik-1,śląskie,2473011,gmina miejska
Rychtal - miasto (4),rychtal-miasto-4,wielkopolskie,3008064,miasto w gminie miejsko-wiejskiej
Rychwał - miasto (4),rychwal-miasto-4,wielkopolskie,3010074,miasto w gminie miejsko-wiejskiej
Rydułtowy (1),rydultowy-1,śląskie,2415031,gmina miejska
Rydzyna - miasto (4),rydzyna-miasto-4,wielkopolskie,3013044,miasto w gminie miejsko-wiejskiej
Ryglice - miasto (4),ryglice-miasto-4,małopolskie,1216064,miasto w gminie miejsko-wiejskiej
Ryki - miasto (4),ryki-miasto-4,lubelskie,0616044,miasto w gminie miejsko-wiejskiej
Rymanów - miasto (4),rymanow-miasto-4,podkarpackie,1807084,miasto w gminie miejsko-wiejskiej
Ryn - miasto (4),ryn-miasto-4,warmińsko-mazurskie,2806084,miasto w gminie miejsko-wiejskiej
Rypin (1),rypin-1,kujawsko-pomorskie,0412011,gmina miejska
Rzepin - miasto (4),rzepin-miasto-4,lubuskie,0805044,miasto w gminie miejsko-wiejskiej
Rzeszów (1),rzeszow-1,podkarpackie,1863011,gmina miejska
Rzgów - miasto (4),rzgow-miasto-4,łódzkie,1006104,miasto w gminie miejsko-wiejskiej
Różan - miasto (4),rozan-miasto-4,mazowieckie,1411074,miasto w gminie miejsko-wiejskiej
Sandomierz (1),sandomierz-1,świętokrzyskie,2609011,gmina miejska
Sanniki - miasto (4),sanniki-miasto-4,mazowieckie,1404044,miasto w gminie miejsko-wiejskiej
Sanok (1),sanok-1,podkarpackie,1817011,gmina miejska
Sejny (1),sejny-1,podlaskie,2009011,gmina miejska
Serock - miasto (4),serock-miasto-4,mazowieckie,1408044,miasto w gminie miejsko-wiejskiej
Sianów - miasto (4),sianow-miasto-4,zachodniopomorskie,3209074,miasto w gminie miejsko-wiejskiej
Siechnice - miasto (4),siechnice-miasto-4,dolnośląskie,0223084,miasto w gminie miejsko-wiejskiej
Siedlce (1),siedlce-1,mazowieckie,1464011,gmina miejska
Siedliszcze - miasto (4),siedliszcze-miasto-4,lubelskie,0603114,miasto w gminie miejsko-wiejskiej
Siemianowice Śląskie (1),siemianowice-slaskie-1,śląskie,2474011,gmina miejska
Siemiatycze (1),siemiatycze-1,podlaskie,2010011,gmina miejska
Sieniawa - miasto (4),sieniawa-miasto-4,podkarpackie,1814074,miasto w gminie miejsko-wiejskiej
Siennica - miasto (4),siennica-miasto-4,mazowieckie,1412134,miasto w gminie miejsko-wiejskiej
Sienno - miasto (4),sienno-miasto-4,mazowieckie,1409054,miasto w gminie miejsko-wiejskiej
Sieradz (1),sieradz-1,łódzkie,1014011,gmina miejska
Sieraków - miasto (4),sierakow-miasto-4,wielkopolskie,3014044,miasto w gminie miejsko-wiejskiej
Sierpc (1),sierpc-1,mazowieckie,1427011,gmina miejska
Siewierz - miasto (4),siewierz-miasto-4,śląskie,2401074,miasto w gminie miejsko-wiejskiej
Skalbmierz - miasto (4),skalbmierz-miasto-4,świętokrzyskie,2603054,miasto w gminie miejsko-wiejskiej
Skarszewy - miasto (4),skarszewy-miasto-4,pomorskie,2213094,miasto w gminie miejsko-wiejskiej
Skaryszew - miasto (4),skaryszew-miasto-4,mazowieckie,1425104,miasto w gminie miejsko-wiejskiej
Skarżysko-Kamienna (1),skarzysko-kamienna-1,świętokrzyskie,2610011,gmina miejska
Skawina - miasto (4),skawina-miasto-4,małopolskie,1206114,miasto w gminie miejsko-wiejskiej
Skała - miasto (4),skala-miasto-4,małopolskie,1206104,miasto w gminie miejsko-wiejskiej
Skierniewice (1),skierniewice-1,łódzkie,1063011,gmina miejska
Skoczów - miasto (4),skoczow-miasto-4,śląskie,2403104,miasto w gminie miejsko-wiejskiej
Skoki - miasto (4),skoki-miasto-4,wielkopolskie,3028054,miasto w gminie miejsko-wiejskiej
Skwierzyna - miasto (4),skwierzyna-miasto-4,lubuskie,0803054,miasto w gminie miejsko-wiejskiej
Skórcz (1),skorcz-1,pomorskie,2213021,gmina miejska
Skępe - miasto (4),skepe-miasto-4,kujawsko-pomorskie,0408074,miasto w gminie miejsko-wiejskiej
Sobków - miasto (4),sobkow-miasto-4,świętokrzyskie,2602084,miasto w gminie miejsko-wiejskiej
Sobótka - miasto (4),sobotka-miasto-4,dolnośląskie,0223074,miasto w gminie miejsko-wiejskiej
Sochaczew (1),sochaczew-1,mazowieckie,1428011,gmina miejska
Sochocin - miasto (4),sochocin-miasto-4,mazowieckie,1420114,miasto w gminie miejsko-wiejskiej
Sokołów Małopolski - miasto (4),sokolow-malopolski-miasto-4,podkarpackie,1816114,miasto w gminie miejsko-wiejskiej
Sokołów Podlaski (1),sokolow-podlaski-1,mazowieckie,1429011,gmina miejska
Sokółka - miasto (4),sokolka-miasto-4,podlaskie,2011084,miasto w gminie miejsko-wiejskiej
Solec Kujawski - miasto (4),solec-kujawski-miasto-4,kujawsko-pomorskie,0403084,miasto w gminie miejsko-wiejskiej
Solec nad Wisłą - miasto (4),solec-nad-wisla-miasto-4,mazowieckie,1409064,miasto w gminie miejsko-wiejskiej
Sompolno - miasto (4),sompolno-miasto-4,wielkopolskie,3010104,miasto w gminie miejsko-wiejskiej
Sopot (1),sopot-1,pomorskie,2264011,gmina miejska
Sosnowiec (1),sosnowiec-1,śląskie,2475011,gmina miejska
Sośnicowice - miasto (4),sosnicowice-miasto-4,śląskie,2405064,miasto w gminie miejsko-wiejskiej
Stalowa Wola (1),stalowa-wola-1,podkarpackie,1818011,gmina miejska
Stanisławów - miasto (4),stanislawow-miasto-4,mazowieckie,1412144,miasto w gminie miejsko-wiejskiej
Starachowice (1),starachowice-1,świętokrzyskie,2611011,gmina miejska
Stargard (1),stargard-1,zachodniopomorskie,3214011,gmina miejska
Starogard Gdański (1),starogard-gdanski-1,pomorskie,2213031,gmina miejska
Staroźreby - miasto (4),starozreby-miasto-4,mazowieckie,1419144,miasto w gminie miejsko-wiejskiej
Stary Sącz - miasto (4),stary-sacz-miasto-4,małopolskie,1210164,miasto w gminie miejsko-wiejskiej
Staszów - miasto (4),staszow-miasto-4,świętokrzyskie,2612074,miasto w gminie miejsko-wiejskiej
Stawiski - miasto (4),stawiski-miasto-4,podlaskie,2006054,miasto w gminie miejsko-wiejskiej
Stawiszyn - miasto (4),stawiszyn-miasto-4,wielkopolskie,3007094,miasto w gminie miejsko-wiejskiej
Stepnica - miasto (4),stepnica-miasto-4,zachodniopomorskie,3204074,miasto w gminie miejsko-wiejskiej
Stoczek Łukowski (1),stoczek-lukowski-1,lubelskie,0611021,gmina miejska
Stopnica - miasto (4),stopnica-miasto-4,świętokrzyskie,2601064,miasto w gminie miejsko-wiejskiej
Stronie Śląskie - miasto (4),stronie-slaskie-miasto-4,dolnośląskie,0208134,miasto w gminie miejsko-wiejskiej
Strumień - miasto (4),strumien-miasto-4,śląskie,2403114,miasto w gminie miejsko-wiejskiej
Stryków - miasto (4),strykow-miasto-4,łódzkie,1020084,miasto w gminie miejsko-wiejskiej
Strzegom - miasto (4),strzegom-miasto-4,dolnośląskie,0219064,miasto w gminie miejsko-wiejskiej
Strzelce Krajeńskie - miasto (4),strzelce-krajenskie-miasto-4,lubuskie,0806044,miasto w gminie miejsko-wiejskiej
Strzelce Opolskie - miasto (4),strzelce-opolskie-miasto-4,opolskie,1611054,miasto w gminie miejsko-wiejskiej
Strzeleczki - miasto (4),strzeleczki-miasto-4,opolskie,1605034,miasto w gminie miejsko-wiejskiej
Strzelin - miasto (4),strzelin-miasto-4,dolnośląskie,0217044,miasto w gminie miejsko-wiejskiej
Strzelno - miasto (4),strzelno-miasto-4,kujawsko-pomorskie,0409044,miasto w gminie miejsko-wiejskiej
Strzyżów - miasto (4),strzyzow-miasto-4,podkarpackie,1819044,miasto w gminie miejsko-wiejskiej
Stąporków - miasto (4),staporkow-miasto-4,świętokrzyskie,2605084,miasto w gminie miejsko-wiejskiej
Stęszew - miasto (4),steszew-miasto-4,wielkopolskie,3021144,miasto w gminie miejsko-wiejskiej
Sucha Beskidzka (1),sucha-beskidzka-1,małopolskie,1215021,gmina miejska
Suchań - miasto (4),suchan-miasto-4,zachodniopomorskie,3214114,miasto w gminie miejsko-wiejskiej
Suchedniów - miasto (4),suchedniow-miasto-4,świętokrzyskie,2610054,miasto w gminie miejsko-wiejskiej
Suchowola - miasto (4),suchowola-miasto-4,podlaskie,2011094,miasto w gminie miejsko-wiejskiej
Sulechów - miasto (4),sulechow-miasto-4,lubuskie,0809064,miasto w gminie miejsko-wiejskiej
Sulejów - miasto (4),sulejow-miasto-4,łódzkie,1010094,miasto w gminie miejsko-wiejskiej
Sulejówek (1),sulejowek-1,mazowieckie,1412151,gmina miejska
Sulmierzyce (1),sulmierzyce-1,wielkopolskie,3012011,gmina miejska
Sulęcin - miasto (4),sulecin-miasto-4,lubuskie,0807044,miasto w gminie miejsko-wiejskiej
Supraśl - miasto (4),suprasl-miasto-4,podlaskie,2002094,miasto w gminie miejsko-wiejskiej
Suraż - miasto (4),suraz-miasto-4,podlaskie,2002104,miasto w gminie miejsko-wiejskiej
Susz - miasto (4),susz-miasto-4,warmińsko-mazurskie,2807064,miasto w gminie miejsko-wiejskiej
Suwałki (1),suwalki-1,podlaskie,2063011,gmina miejska
Sułkowice - miasto (4),sulkowice-miasto-4,małopolskie,1209074,miasto w gminie miejsko-wiejskiej
Swarzędz - miasto (4),swarzedz-miasto-4,wielkopolskie,3021164,miasto w gminie miejsko-wiejskiej
Syców - miasto (4),sycow-miasto-4,dolnośląskie,0214074,miasto w gminie miejsko-wiejskiej
Szadek - miasto (4),szadek-miasto-4,łódzkie,1019024,miasto w gminie miejsko-wiejskiej
Szamocin - miasto (4),szamocin-miasto-4,wielkopolskie,3001054,miasto w gminie miejsko-wiejskiej
Szamotuły - miasto (4),szamotuly-miasto-4,wielkopolskie,3024074,miasto w gminie miejsko-wiejskiej
Szczawnica - miasto (4),szczawnica-miasto-4,małopolskie,1211024,miasto w gminie miejsko-wiejskiej
Szczawno-Zdrój (1),szczawno-zdroj-1,dolnośląskie,0221031,gmina miejska
Szczebrzeszyn - miasto (4),szczebrzeszyn-miasto-4,lubelskie,0620134,miasto w gminie miejsko-wiejskiej
Szczecin (1),szczecin-1,zachodniopomorskie,3262011,gmina miejska
Szczecinek (1),szczecinek-1,zachodniopomorskie,3215011,gmina miejska
Szczekociny - miasto (4),szczekociny-miasto-4,śląskie,2416084,miasto w gminie miejsko-wiejskiej
Szczucin - miasto (4),szczucin-miasto-4,małopolskie,1204074,miasto w gminie miejsko-wiejskiej
Szczuczyn - miasto (4),szczuczyn-miasto-4,podlaskie,2004054,miasto w gminie miejsko-wiejskiej
Szczyrk (1),szczyrk-1,śląskie,2402011,gmina miejska
Szczytna - miasto (4),szczytna-miasto-4,dolnośląskie,0208144,miasto w gminie miejsko-wiejskiej
Szczytno (1),szczytno-1,warmińsko-mazurskie,2817011,gmina miejska
Szepietowo - miasto (4),szepietowo-miasto-4,podlaskie,2013094,miasto w gminie miejsko-wiejskiej
Szklarska Poręba (1),szklarska-poreba-1,dolnośląskie,0206041,gmina miejska
Szlichtyngowa - miasto (4),szlichtyngowa-miasto-4,lubuskie,0812024,miasto w gminie miejsko-wiejskiej
Szprotawa - miasto (4),szprotawa-miasto-4,lubuskie,0810074,miasto w gminie miejsko-wiejskiej
Sztum - miasto (4),sztum-miasto-4,pomorskie,2216054,miasto w gminie miejsko-wiejskiej
Szubin - miasto (4),szubin-miasto-4,kujawsko-pomorskie,0410054,miasto w gminie miejsko-wiejskiej
Szydłowiec - miasto (4),szydlowiec-miasto-4,mazowieckie,1430054,miasto w gminie miejsko-wiejskiej
Szydłów - miasto (4),szydlow-miasto-4,świętokrzyskie,2612084,miasto w gminie miejsko-wiejskiej
Sędziszów - miasto (4),sedziszow-miasto-4,świętokrzyskie,2602064,miasto w gminie miejsko-wiejskiej
Sędziszów Małopolski - miasto (4),sedziszow-malopolski-miasto-4,podkarpackie,1815044,miasto w gminie miejsko-wiejskiej
Sępopol - miasto (4),sepopol-miasto-4,warmińsko-mazurskie,2801064,miasto w gminie miejsko-wiejskiej
Sępólno Krajeńskie - miasto (4),sepolno-krajenskie-miasto-4,kujawsko-pomorskie,0413024,miasto w gminie miejsko-wiejskiej
Sława - miasto (4),slawa-miasto-4,lubuskie,0812014,miasto w gminie miejsko-wiejskiej
Sławków (1),slawkow-1,śląskie,2401081,gmina miejska
Sławno (1),slawno-1,zachodniopomorskie,3213021,gmina miejska
Słomniki - miasto (4),slomniki-miasto-4,małopolskie,1206124,miasto w gminie miejsko-wiejskiej
Słubice - miasto (4),slubice-miasto-4,lubuskie,0805054,miasto w gminie miejsko-wiejskiej
Słupca (1),slupca-1,wielkopolskie,3023011,gmina miejska
Słupsk (1),slupsk-1,pomorskie,2263011,gmina miejska
Tarczyn - miasto (4),tarczyn-miasto-4,mazowieckie,1418064,miasto w gminie miejsko-wiejskiej
Tarnobrzeg (1),tarnobrzeg-1,podkarpackie,1864011,gmina miejska
Tarnogród - miasto (4),tarnogrod-miasto-4,lubelskie,0602124,miasto w gminie miejsko-wiejskiej
Tarnowskie Góry (1),tarnowskie-gory-1,śląskie,2413041,gmina miejska
Tarnów (1),tarnow-1,małopolskie,1263011,gmina miejska
Tczew (1),tczew-1,pomorskie,2214011,gmina miejska
Terespol (1),terespol-1,lubelskie,0601021,gmina miejska
Tolkmicko - miasto (4),tolkmicko-miasto-4,warmińsko-mazurskie,2804094,miasto w gminie miejsko-wiejskiej
Tomaszów Lubelski (1),tomaszow-lubelski-1,lubelskie,0618011,gmina miejska
Tomaszów Mazowiecki (1),tomaszow-mazowiecki-1,łódzkie,1016011,gmina miejska
